mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_class_weight,param_l1_ratio,param_loss,param_max_iter,param_n_iter_no_change,param_penalty,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.5506112575531006,0.04766845703125,0.08239340782165527,0.0058290958404541016,0.0001,balanced,0.3,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6009069055944056,0.5761718749999999,0.5885393902972027,0.012367515297202869,717
0.13882911205291748,0.008735060691833496,0.07384884357452393,0.00424349308013916,0.0001,balanced,0.35,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6131064248251749,0.5683051215277777,0.5907057731764762,0.02240065164869859,677
0.23843050003051758,0.03141140937805176,0.088187575340271,0.015314221382141113,0.0001,balanced,0.35,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.61013986013986,0.5694986979166669,0.5898192790282635,0.02032058111159657,696
0.3347219228744507,0.007609248161315918,0.06940674781799316,0.0011684894561767578,0.0001,balanced,0.35,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6049752331002329,0.5726453993055555,0.5888103162028941,0.016164916897338732,713
0.48552024364471436,0.014159560203552246,0.08200657367706299,0.013850569725036621,0.0001,balanced,0.35,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6043123543123542,0.5757921006944445,0.5900522275033994,0.014260126808954832,690
0.1329958438873291,0.00011849403381347656,0.07865762710571289,0.009859800338745117,0.0001,balanced,0.4,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6107808857808859,0.5794270833333334,0.5951039845571096,0.01567690122377624,511
0.20101845264434814,0.0021098852157592773,0.06850099563598633,0.0017271041870117188,0.0001,balanced,0.4,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.6112033799533798,0.5789930555555555,0.5950982177544677,0.01610516219891217,512
0.35952866077423096,0.01573622226715088,0.07010400295257568,0.0006455183029174805,0.0001,balanced,0.4,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6127713432400933,0.5779622395833334,0.5953667914117133,0.017404551828379966,500
0.46789658069610596,0.0013023614883422852,0.07916140556335449,0.007360219955444336,0.0001,balanced,0.4,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6107717803030301,0.5762261284722221,0.5934989543876261,0.017272825915404022,585
0.18248891830444336,0.04480600357055664,0.08394503593444824,0.004037618637084961,0.0001,balanced,0.45,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6056235431235429,0.5716145833333335,0.5886190632284383,0.01700447989510473,716
0.21656084060668945,0.019577503204345703,0.07355272769927979,0.003969073295593262,0.0001,balanced,0.45,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.6065104166666667,0.5730794270833334,0.589794921875,0.016715494791666674,698
0.3351764678955078,0.005896091461181641,0.08355259895324707,0.002376079559326172,0.0001,balanced,0.45,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6027735285547785,0.5730794270833334,0.5879264778190559,0.014847050735722567,729
0.4666750431060791,0.008856773376464844,0.07021129131317139,0.0005475282669067383,0.0001,balanced,0.45,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6029319638694638,0.5740559895833334,0.5884939767263986,0.014437987143065212,718
0.13022124767303467,0.004264473915100098,0.07800483703613281,0.006105661392211914,0.0001,balanced,0.5,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6099267919580419,0.5746527777777777,0.5922897848679098,0.017637007090132106,628
0.21625590324401855,0.002256155014038086,0.07796812057495117,0.0064923763275146484,0.0001,balanced,0.5,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.6116896124708624,0.5755208333333333,0.5936052229020978,0.01808438956876457,580
0.32621729373931885,0.003338456153869629,0.08392882347106934,0.0011696815490722656,0.0001,balanced,0.5,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6087103001165501,0.5743272569444444,0.5915187785304973,0.01719152158605286,649
0.46334898471832275,0.0066269636154174805,0.06911015510559082,0.00021314620971679688,0.0001,balanced,0.5,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6069329108391607,0.5748697916666665,0.5909013512529135,0.01603155958624708,671
0.12576699256896973,0.004075765609741211,0.08012759685516357,0.006487488746643066,0.0001,balanced,0.55,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.55, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6071241258741259,0.5776909722222221,0.5924075490481739,0.0147165768259519,624
