start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00.460000,0 days 00:00:00.480000,0.04965365,-24.716553,36.69014,-0.049045432,0.0091882525,0.031762768,13.225797,17.503069,10.109874,3.5392902,0.0,0.0,0.0,0.0,0.0,0.0,1002.4135,1612.7115,-201.0,1827.1742,1642.5836,-201.0,2851.005,736.45074,-201.0
0 days 00:00:00.470000,0 days 00:00:00.490000,0.047775585,-25.415606,37.321262,-0.046546727,0.012463332,0.02790989,11.896828,19.693968,12.260798,4.8319106,0.0,0.0,0.0,0.0,0.0,0.0,1015.8842,1490.4598,-201.0,2075.2913,1248.8561,-201.0,2801.963,1386.2406,-201.0
0 days 00:00:00.480000,0 days 00:00:00.500000,0.051212106,-23.63835,35.59212,-0.04225931,0.007920553,0.031757303,11.531189,17.545332,9.3320265,4.518989,0.0,0.0,0.0,0.0,0.0,0.0,816.9695,1491.749,-201.0,1868.8735,1281.601,-201.0,2617.6975,1435.5858,-201.0
0 days 00:00:00.490000,0 days 00:00:00.510000,0.10447488,-19.913023,29.640333,-0.04374927,-0.00041253306,0.050510064,13.444325,13.743198,11.482615,0.013638179,0.0,0.0,0.0,0.0,0.0,0.0,663.67474,1286.4604,-201.0,1810.1666,1162.9159,-201.0,2451.3894,1721.3141,-201.0
0 days 00:00:00.500000,0 days 00:00:00.520000,0.15773793,-13.412877,20.679834,-0.026014967,-0.0076751723,0.06444337,14.911392,7.6088676,6.3023515,-10.511335,0.0,0.0,0.0,0.0,0.0,0.0,472.75293,1255.1355,-143.95122,1494.1725,1443.582,-146.53642,2281.4812,1282.7565,-144.48216
0 days 00:00:00.510000,0 days 00:00:00.530000,0.19745784,-10.001019,15.316895,-0.017282432,-0.0077148355,0.06834281,16.51001,3.9680831,6.2683854,-19.20244,37.19597,0.0,0.0,8.661572,5.4473553,2.2705212,612.6487,1091.7125,-84.4186,1718.027,1229.4968,-92.27172,2551.3413,1144.999,-89.999886
0 days 00:00:00.520000,0 days 00:00:00.540000,0.18068606,-10.611149,16.27366,-0.017313393,0.0041451645,0.06013898,14.535861,4.610845,6.160414,-15.982708,37.065006,0.0,1.6498688,9.290986,7.9067082,6.6803265,762.52856,1035.8574,-29.505785,1874.4712,1107.6962,-39.761845,2795.0403,781.9666,-38.302555
0 days 00:00:00.530000,0 days 00:00:00.550000,0.17118889,-11.4433565,17.795029,-0.024075335,0.017259449,0.05911373,13.106191,8.109725,14.132869,-8.030307,36.759445,0.035353232,1.4865255,9.658262,12.031032,12.315873,886.8299,897.64777,-31.52334,2040.5331,630.3218,-41.992687,3122.2034,435.25186,-43.218884
0 days 00:00:00.540000,0 days 00:00:00.560000,0.17643593,-15.635369,24.323141,-0.025372863,0.019891107,0.08573204,14.890761,10.073815,16.590624,2.3259027,36.302258,0.028739676,1.9006988,8.14003,10.17777,14.599189,909.19434,865.94037,-34.836758,2014.392,600.898,-42.45023,3103.548,435.6211,-46.1066
0 days 00:00:00.550000,0 days 00:00:00.570000,0.2170918,-21.506577,30.29859,-0.013085895,0.01055554,0.22000839,20.196768,16.001345,18.961864,6.1375623,35.034008,0.022019656,1.3523699,6.103613,12.57175,21.984594,969.9432,920.7639,-32.87031,2041.2158,816.362,-39.973804,3075.082,635.4026,-46.676632
0 days 00:00:00.560000,0 days 00:00:00.580000,0.32937753,-25.554583,37.514057,0.0024711497,0.0041303295,0.4975035,28.80387,17.558432,18.157595,10.072964,33.527615,0.0155125605,1.4486356,5.275822,13.780861,29.323044,1049.793,1055.5299,-30.125223,2168.0571,953.02045,-37.309326,3270.3308,902.8299,-45.969753
0 days 00:00:00.570000,0 days 00:00:00.590000,0.46131745,-25.093962,38.315655,0.018000444,0.00019595605,0.7053978,35.308796,16.446274,18.208168,9.792693,32.04157,0.0155125605,1.4486356,6.2437854,17.72862,38.989895,1067.3331,1093.4288,-27.790735,2237.7588,962.79034,-38.34632,3464.3289,1021.01666,-43.49618
0 days 00:00:00.580000,0 days 00:00:00.600000,0.52931994,-23.44404,38.12699,0.024435157,-0.0038779166,0.7659321,38.36684,16.142431,14.84737,7.0867553,31.408491,0.0155125605,1.4486356,8.0254135,16.601377,37.51151,1015.4217,1189.1128,-25.511995,2228.6653,894.4178,-41.472107,3578.4153,1084.642,-37.701244
0 days 00:00:00.590000,0 days 00:00:00.610000,0.5223503,-25.089876,37.73496,0.032401174,-0.01341056,0.6131694,38.0275,20.295568,15.261017,5.8745294,31.153318,0.05134684,1.5200253,9.759603,16.637064,41.48839,744.27545,1309.7194,-15.126361,1941.3046,1007.29877,-40.213192,3226.583,1113.8828,-39.329517
0 days 00:00:00.600000,0 days 00:00:00.620000,0.503624,-27.503984,36.892853,0.03226802,-0.027358614,0.41513264,35.19623,30.929108,18.056585,-5.058189,31.09459,0.054861072,1.4289306,10.516204,16.62623,42.65288,639.8704,1512.7482,-15.829095,1838.7728,1208.5924,-36.81152,2975.006,1101.9774,-39.90051
0 days 00:00:00.610000,0 days 00:00:00.630000,0.50841147,-26.449507,32.15546,0.0326492,-0.03356591,0.29803714,32.06362,35.72249,22.668085,-12.36147,31.155525,0.051273014,0.9918418,10.803248,16.619987,45.17806,449.84103,1476.5612,-8.07524,1648.4188,1238.1747,-32.169437,2746.3066,1074.4943,-43.509724
0 days 00:00:00.620000,0 days 00:00:00.640000,0.48608187,-24.27256,27.71875,0.021756457,-0.030261217,0.2286268,27.670258,39.39544,28.144073,-16.820417,31.2706,0.012263144,0.829941,10.818957,16.836136,38.025074,624.33344,1801.555,-21.876944,1741.1188,1280.2257,-31.45635,2862.0603,1007.06757,-38.028236
0 days 00:00:00.630000,0 days 00:00:00.650000,0.46110916,-22.405394,25.55583,0.019338055,-0.018309696,0.21016395,23.579498,37.98988,29.745737,-10.250982,31.372437,0.005163312,0.67152756,10.538121,17.695541,32.776203,538.3214,1664.1481,-13.543472,1636.3854,1145.9794,-30.689629,2880.7239,1566.2612,-34.189465
